Set Number;Average Direction;Average Speed
0;4095;328
1;984;414
2;2274;426
3;597;378
4;366;392
5;3388;406
6;4090;404
7;2979;414
8;2708;581
9;2323;373
10;2871;483
11;2606;353
12;2157;374
13;2214;360
14;439;343
15;654;337
16;1890;439
17;2986;332
18;3503;314
19;1913;364
20;1195;351
21;229;319
22;2271;351
23;3412;335
24;712;355
25;1637;356
26;3183;345
27;3204;318
28;3694;331
29;3492;365
30;3613;326
31;4095;319
32;3497;341
33;3497;352
34;4095;350
35;154;340
36;3556;362
37;374;337
38;3023;400
39;26;323
40;3514;384
41;3502;333
42;4020;346
43;4029;344
44;4029;320
45;2922;338
46;3422;349
47;210;379
48;74;320
49;609;364
50;2130;356
51;3777;345
52;0;324
53;41;339
54;3400;371
55;2569;420
56;3660;343
57;4077;345
58;3567;368
59;3213;353
60;399;347
61;691;375
62;1112;375
63;485;390
64;376;439
65;78;365
66;2909;348
67;3444;388
68;656;392
69;2948;451
70;208;466
71;577;408
72;1334;418
73;775;423
74;51;479
75;2001;383
76;2767;408
77;3251;413
78;927;392
79;316;408
80;514;446
81;14;456
82;2614;378
83;403;411
84;375;386
85;111;416
86;2987;383
87;457;432
88;1154;434
89;281;405
90;402;384
91;872;404
92;763;423
93;960;437
94;439;399
95;748;375
96;746;387
97;325;398
98;515;381
99;925;388
100;797;371
101;570;412
102;595;376
103;706;423
104;333;374
105;651;330
106;15;354
107;3334;332
108;3219;347
109;3259;338
110;3390;332
111;4095;337
112;3136;345
113;3183;378
114;4094;329
115;3073;338
116;3180;333
117;3566;364
118;3849;347
119;3481;381
120;3644;338
121;4073;357
122;4095;346
123;4095;345
124;4095;354
125;4095;347
126;4095;356
127;4095;334
128;3909;341
129;3910;340
130;3367;367
131;2936;415
132;3228;385
133;3232;387
134;3047;418
135;3249;392
136;2932;442
137;2868;442
138;3019;447
139;3182;432
140;2862;484
141;2981;491
142;2702;465
143;2958;439
144;2661;512
145;2848;553
146;2813;518
147;2837;451
148;2817;480
149;2869;469
150;2727;535
151;2885;600
152;2765;570
153;2921;514
154;2600;545
155;2819;426
156;2691;517
157;3136;448
158;2823;544
159;2596;482
160;2764;522
161;3008;479
162;2517;485
163;2645;463
164;2329;454
165;2674;443
166;2541;444
167;2868;403
168;2680;500
169;2981;456
170;2799;434
171;2836;489
172;2714;482
173;2267;450
174;2200;478
175;2473;434
176;2458;503
177;2575;435
178;2515;465
179;2461;458
180;2794;416
181;2740;450
182;2609;471
183;2539;512
184;2738;445
185;2450;422
186;2536;512
187;2402;444
188;2820;449
189;2570;468
190;2733;480
191;2668;427
192;2674;410
193;2918;450
194;2932;461
195;2957;490
196;2919;431
197;2884;420
198;2838;417
199;2650;405
200;2863;446
201;2837;432
202;2997;452
203;2841;480
204;2883;421
205;2758;473
206;2634;438
207;2951;465
208;2820;447
209;2682;455
210;2758;525
211;2716;528
212;2532;502
213;2860;540
214;2584;484
215;2655;493
216;2931;564
217;2785;552
218;2763;494
219;2931;505
220;2817;549
221;2732;549
222;2676;446
223;2676;442
224;2757;483
225;2883;470
226;3046;493
227;2896;463
228;2779;459
229;2979;423
230;2441;411
231;2405;436
232;3174;341
233;3036;355
234;3123;367
235;3086;396
236;2282;335
